Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
20-SEP-2016,8816.1,8816.45,8759.3,8775.9,140718486,7035.07
19-SEP-2016,8788.45,8824.3,8774.2,8808.4,135814177,7364.64
16-SEP-2016,8780.85,8847.65,8750.5,8779.85,274039556,14430.63
15-SEP-2016,8743.85,8751.95,8704.35,8742.55,149889703,7347.34
14-SEP-2016,8710.65,8739.85,8688.9,8726.6,189984289,9112.57
12-SEP-2016,8732.95,8746.95,8699.4,8715.6,190199613,9248.73
09-SEP-2016,8934.3,8939.15,8858.7,8866.7,181344327,9976.28
08-SEP-2016,8915.5,8960.35,8896,8952.5,223937056,10773.98
07-SEP-2016,8968.7,8968.7,8913.35,8917.95,299145644,11430.95
06-SEP-2016,8852.7,8950.85,8848.45,8943,201617132,9571.31
02-SEP-2016,8796.35,8824.1,8768.2,8809.65,197385217,8231.93
01-SEP-2016,8793.6,8813.25,8759.95,8774.65,246336047,9653.93
31-AUG-2016,8754.05,8819.2,8754.05,8786.2,373422334,22534.29
30-AUG-2016,8646.75,8750.6,8642.25,8744.35,154828719,8392.76
29-AUG-2016,8583.75,8622,8543.75,8607.45,133723771,6857.99
26-AUG-2016,8614.35,8622.95,8547.55,8572.55,152146666,7153.37
25-AUG-2016,8668.85,8683.05,8583.65,8592.2,219736214,10508.32
24-AUG-2016,8648.5,8661.05,8620.9,8650.3,154168043,7199.72
23-AUG-2016,8628.35,8642.15,8580,8632.6,193302503,7309.82
22-AUG-2016,8667,8684.85,8614,8629.15,156976546,7394.57
19-AUG-2016,8694.3,8696.6,8647.1,8666.9,197770568,8354.88
18-AUG-2016,8648.85,8690.7,8645.05,8673.25,169431656,7900.6
17-AUG-2016,8639.8,8667.1,8603.6,8624.05,179540691,8161.38
16-AUG-2016,8670.25,8682.35,8600.45,8642.55,231771409,10937.35
